sentiment_result_id,raw_document_id,ticker,provider,query,text,llama_is_economic,manual_economic_related,finbert_label,finbert_score,finbert_confidence,manual_label,manual_notes
1,167,AMD,bluesky,$AMD,"【Radeon】AMD Radeon RX 9070 XT Challenger 16GB 最新入荷情報！ AMD Radeon RX 9070 XT Challenger 16GB が 129,800円で登場！ #自作PC #ark 詳細はこちら↓ ブログ記事を確認する",yes,no,neutral,0.0,0.8214991688728333,neutral,"Product listing/restock, not market/economy."
2,168,MSFT,bluesky,$AMD,"📦 ROG Xbox Ally Console Portátil Tela 7"" Touchscreen 120Hz, AMD Ryzen Z2A 2 GHz, 16 GB RAM, 512 GB SSD, Windows 11 Home - White - RC73YA-NH003W 💰 De: R$ 6.390,00 Por: R$ 3.985,51 💵 (38% OFF) 👉 Link: https://meli.la/2STiwv7 #oferta #promoção #desconto",yes,no,neutral,0.0,0.9201893210411072,neutral,Retail product discount; Windows is incidental.
3,168,AMD,bluesky,$AMD,"📦 ROG Xbox Ally Console Portátil Tela 7"" Touchscreen 120Hz, AMD Ryzen Z2A 2 GHz, 16 GB RAM, 512 GB SSD, Windows 11 Home - White - RC73YA-NH003W 💰 De: R$ 6.390,00 Por: R$ 3.985,51 💵 (38% OFF) 👉 Link: https://meli.la/2STiwv7 #oferta #promoção #desconto",yes,no,neutral,0.0,0.9201893210411072,neutral,Retail product discount for AMD-based device.
4,170,AMD,bluesky,$AMD,"【Radeon】AMD Radeon RX 9070 XT Taichi White 16GB OC 最新入荷情報！ AMD Radeon RX 9070 XT Taichi White 16GB OC が 148,800円で登場！ #自作PC #ark 詳細はこちら↓ ブログ記事を確認する",yes,no,neutral,0.0,0.8643317818641663,neutral,GPU product availability listing.
5,95,TSLA,bluesky,Apple stock,"[2/14] to China. Leaders from Apple, Nvidia, Meta, Cargill, Tesla, Boeing, Citigroup, Goldman Sachs, GE Aerospace, Qualcomm, Visa, Micron Technology, Mastercard, BlackRock, Blackstone, Goliath, Illumina and other companies as well as the New York Stock Exchange attended. Li Qiang said",yes,yes,neutral,0.0,0.9280216097831726,neutral,"Business delegation/geopolitics, no clear company sentiment."
6,95,NVDA,bluesky,Apple stock,"[2/14] to China. Leaders from Apple, Nvidia, Meta, Cargill, Tesla, Boeing, Citigroup, Goldman Sachs, GE Aerospace, Qualcomm, Visa, Micron Technology, Mastercard, BlackRock, Blackstone, Goliath, Illumina and other companies as well as the New York Stock Exchange attended. Li Qiang said",yes,yes,neutral,0.0,0.9280216097831726,neutral,"Business delegation/geopolitics, no clear company sentiment."
7,181,AMD,bluesky,$AMD,"AMD EPYC Conquista 46,2% das Receitas Mundiais de Servidores e Deixa Intel sob Pressão #amd #intel #press",yes,yes,neutral,0.0,0.8875806331634521,positive,AMD gaining server revenue share is positive.
8,181,INTC,bluesky,$AMD,"AMD EPYC Conquista 46,2% das Receitas Mundiais de Servidores e Deixa Intel sob Pressão #amd #intel #press",yes,yes,neutral,0.0,0.8875806331634521,negative,Intel described as under pressure.
9,172,AMD,bluesky,$AMD,"2026-05-14 18:21:36 - [AMD Semiconductor’s U.S. stocks fell more than 2% before the market opened] AMD Semiconductor’s U.S. stocks fell more than 2% before the market opened, now trading at $436.33.",yes,yes,negative,-0.9746171832084656,0.9746171832084656,negative,Stock down more than 2% premarket.
10,174,AMZN,bluesky,$AMD,🌟 見つけました！ ASUS AMD Radeon RX9070XT 搭載 ビデオカード PCIe 5.0 16GB GDDR6 PRIME-RX9070XT-O16G 国内正規代理店品 https://amazon.co.jp/dp/B0DZBXKDJV?tag=papalog001-22 #Amazon購入品 #お買い物,yes,no,neutral,0.0,0.8713105916976929,neutral,Amazon product affiliate listing.
